NumberOfEntries,EXT_Sum,EST_Sum,AGR_Sum,CSN_Sum,OPN_Sum,EXT_Var,EST_Var,AGR_Var,CSN_Var,OPN_Var,Country,EXT_Mean,EST_Mean,AGR_Mean,CSN_Mean,OPN_Mean,EXT_Std,EST_Std,AGR_Std,CSN_Std,OPN_Std
5,14,10,13,14,14,0,0,0,0,0,SL,2,2,2,2,2,0,0,0,0,0
5,12,13,15,14,15,0,0,0,0,0,TO,2,2,3,2,3,0,0,0,0,0
5,13,11,15,12,15,0,0,0,0,0,TL,2,2,3,2,3,0,0,0,0,0
4,11,12,11,9,11,0,0,0,0,0,GP,2,3,2,2,2,0,0,0,0,0
4,12,9,12,11,12,0,0,0,0,0,NC,3,2,3,2,3,0,0,0,0,0
4,11,13,10,11,13,0,0,0,0,0,MC,2,3,2,2,3,0,0,0,0,0
4,11,10,11,9,11,0,0,0,0,0,CK,2,2,2,2,2,0,0,0,0,0
4,11,10,11,12,12,0,0,0,0,0,LI,2,2,2,3,3,0,0,0,0,0
4,10,11,11,11,11,0,0,0,0,0,SX,2,2,2,2,2,0,0,0,0,0
4,10,14,11,11,11,0,0,0,0,0,FM,2,3,2,2,2,0,0,0,0,0
3,7,6,8,8,8,0,0,0,0,0,GA,2,2,2,2,2,0,0,0,0,0
3,8,8,9,8,9,0,0,0,0,0,SS,2,2,3,2,3,0,0,0,0,0
3,9,6,8,7,8,0,0,0,0,0,PW,3,2,2,2,2,0,0,0,0,0
3,8,8,8,9,9,0,0,0,0,0,AI,2,2,2,3,3,0,0,0,0,0
3,8,6,8,9,9,0,0,0,0,0,ML,2,2,2,3,3,0,0,0,0,0
3,9,10,9,9,9,0,0,0,0,0,CG,3,3,3,3,3,0,0,0,0,0
3,8,8,8,8,9,0,0,0,0,0,MR,2,2,2,2,3,0,0,0,0,0
2,4,6,6,5,5,0,0,0,0,0,VG,2,3,3,2,2,0,0,0,0,0
2,6,4,5,5,6,0,0,0,0,0,NU,3,2,2,2,3,0,0,0,0,0
2,5,6,6,5,6,0,0,0,0,0,AQ,2,3,3,2,3,0,0,0,0,0
2,6,5,4,5,5,0,0,0,0,0,TJ,3,2,2,2,2,0,0,0,0,0
2,4,6,5,5,4,0,0,0,0,0,SM,2,3,2,2,2,0,0,0,0,0
2,4,5,5,4,5,0,0,0,0,0,TG,2,2,2,2,2,0,0,0,0,0
